"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","203235","Should check and capture available and occupied seats","","Thu Nov 28 14:42:43 CST 2024","passed","Thu Nov 28 14:46:06 CST 2024","","it should complete a simple purchase @e2e_001","",""
"","9077","Should load passenger information","","Thu Nov 28 14:46:06 CST 2024","passed","Thu Nov 28 14:46:15 CST 2024","","it should complete a simple purchase @e2e_001","",""
"","269563","Should count all available trips","","Thu Nov 28 14:42:36 CST 2024","passed","Thu Nov 28 14:47:06 CST 2024","","it should complete a simple purchase @e2e_001","",""
"","175","should select the required number of seats and proceed","","Wed Nov 27 19:43:18 CST 2024","passed","Wed Nov 27 19:43:18 CST 2024","","it should complete a simple purchase @e2e_001","",""
"","111","should perform a scroll down using provided properties","","Wed Nov 27 18:07:43 CST 2024","broken","Wed Nov 27 18:07:43 CST 2024","","it should complete a simple purchase @e2e_001","",""
"","99","Debe devolver una lista de números de asientos","","Wed Nov 27 19:47:29 CST 2024","passed","Wed Nov 27 19:47:29 CST 2024","","it should complete a simple purchase @e2e_001","",""
"","2088","should scroll down in the seat container","","Wed Nov 27 16:13:37 CST 2024","broken","Wed Nov 27 16:13:39 CST 2024","","it should complete a simple purchase @e2e_001","",""
"","33214","Debe analizar un asiento","","Wed Nov 27 18:46:29 CST 2024","passed","Wed Nov 27 18:47:02 CST 2024","","it should complete a simple purchase @e2e_001","",""
"","1809","should validate and handle modal and GPS permissions","","Thu Nov 28 14:42:21 CST 2024","passed","Thu Nov 28 14:42:23 CST 2024","","it should complete a simple purchase @e2e_001","",""
"","101073","should perform a scroll down gesture","","Wed Nov 27 17:22:53 CST 2024","passed","Wed Nov 27 17:24:34 CST 2024","","it should complete a simple purchase @e2e_001","",""
"","50","Debe obtener todos los números de los asientos disponibles","","Wed Nov 27 20:06:56 CST 2024","passed","Wed Nov 27 20:06:56 CST 2024","","it should complete a simple purchase @e2e_001","",""
"","1647","Should validate splash component","","Thu Nov 28 14:42:23 CST 2024","passed","Thu Nov 28 14:42:25 CST 2024","","it should complete a simple purchase @e2e_001","",""
"","168","You should make a selection of a trip by schedule","","Thu Nov 28 12:29:46 CST 2024","broken","Thu Nov 28 12:29:46 CST 2024","","it should complete a simple purchase @e2e_001","",""
"","11650","You should perform a one-way search","","Thu Nov 28 14:42:25 CST 2024","passed","Thu Nov 28 14:42:36 CST 2024","","it should complete a simple purchase @e2e_001","",""
"","751","You should select medical insurance","","Thu Nov 28 14:46:15 CST 2024","passed","Thu Nov 28 14:46:16 CST 2024","","it should complete a simple purchase @e2e_001","",""
"","186","Debe devolver una lista de números de asientos y seleccionar uno","","Wed Nov 27 19:58:25 CST 2024","broken","Wed Nov 27 19:58:25 CST 2024","","it should complete a simple purchase @e2e_001","",""
"","49963","You should complete the purchase process","","Thu Nov 28 14:46:16 CST 2024","passed","Thu Nov 28 14:47:06 CST 2024","","it should complete a simple purchase @e2e_001","",""
"","6830","should scroll down in the screen","","Wed Nov 27 16:15:27 CST 2024","broken","Wed Nov 27 16:15:33 CST 2024","","it should complete a simple purchase @e2e_001","",""
"","4","Debe listar todos los números de los asientos visibles","","Wed Nov 27 20:14:02 CST 2024","broken","Wed Nov 27 20:14:02 CST 2024","","it should complete a simple purchase @e2e_001","",""
"","6283","Debe analizar todos los asientos y seleccionar uno disponible","","Wed Nov 27 19:00:27 CST 2024","broken","Wed Nov 27 19:00:33 CST 2024","","it should complete a simple purchase @e2e_001","",""
"","205329","Debe analizar todos los asientos del 1 al 35","","Thu Nov 28 13:44:59 CST 2024","passed","Thu Nov 28 13:48:24 CST 2024","","it should complete a simple purchase @e2e_001","",""
